id,title,category,target_audience,hook_type,duration,cta_offer,created_at
"SC-MU6VLMTE-81","5 Saal Ka Stone Armor: Repaint Scam Ka Saamna","Homeowner Film","Homeowners Building Houses","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:29:19.165Z"
"SC-MU6VN9MM-34","Har Deewar Ka Pukka Vishwas: Rajasthan-Engineered Coatings Ke Saath","Homeowner Film","Families","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:30:35.129Z"
"SC-MU6VON6O-63","Aesthetic Light Shadows: How Natural Graded Quartz Texture Interacts with Sunlight Facades","Architect Spec","Architects & Interior Designers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:31:38.795Z"
"SC-MU6VPG7E-50","Water-Based vs Solvent Paints: Odor, VOCs, Health & Flame Safety","Science of Paints","Homeowners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:32:16.465Z"
"SC-MU6VQTDG-49","The Unboxing of Swatch Rustic: Finding the Sealed ₹50 Cash Token and Instant Scanning","Painters Club","Professional Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:33:19.601Z"
"SC-MU6VS63B-35","Monsoon Mold Magic: Paint Chemistry That Keeps Walls Fresh 5 Years","Science of Paints","Homeowners & Builders","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:34:23.369Z"
"SC-MU6VTJAO-44","Notched Trowel vs Flat Float: Perfect Rustic Uniformity","Painters Club","Thekedaars & Contractors","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:35:27.025Z"
"SC-MU6VUWF0-22","The Unboxing of Swatch Rustic: Finding the Sealed ₹50 Cash Token and Instant Scanning","Painters Club","Professional Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:36:31.147Z"
"SC-MU6VW9W9-40","5 Saal Rock Solid Ka Secret: Repaint Scam Kyu Chhodiye?","Homeowner Film","Homeowners Building Houses","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:37:35.034Z"
"SC-MU6VXN6S-32","30-Day Buyback Guarantee: Zero Risk New Product Launch","Dealer Counter","Retail Paint Dealers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:38:39.206Z"
"SC-MU6VZ0P3-53","Pre-Monsoon Wall Check: 3 Signs Your Texture Needs Guard","Homeowner Film","Villa & House Owners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:39:43.150Z"
"SC-MU6W0E1K-81","Ready Bags, Rich Cashflow: Turn Dead Stock Into Fast Turnover","Dealer Counter","Hardware & Paint Shop Owners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:40:47.399Z"
"SC-MU6W1RM2-64","सुरुआत में दिखो, बाद में रहो: Seamless Accent Walls with Swatch Rustic Texture","Architect Spec","Interior Decorators","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:41:51.118Z"
"SC-MU6W34SN-91","Pre-Monsoon Wall Check: 3 Signs Your Texture Needs Guard","Homeowner Film","Villa & House Owners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:42:54.609Z"
"SC-MU6W4HRY-34","Why Walls Sweat & How Smart Polymers Stop It","Science of Paints","Homeowners & Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:43:58.305Z"
"SC-MU6W5UXH-34","Water-Based vs Solvent Paints: Odor, VOCs, Health & Flame Safety","Science of Paints","Homeowners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:45:02.345Z"
"SC-MU6W78CG-23","Why Walls Sweat & How Polymers Lock It Forever","Science of Paints","Homeowners & Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:46:06.857Z"
"SC-MU6W8M4S-78","Water-Based vs Solvent Paints: Odor, VOCs, Health & Flame Safety","Science of Paints","Homeowners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:47:10.583Z"
"SC-MU6W9ZA6-83","Har Deewar Ka Pukka Vishwas: Rajasthan-Engineered Coating Ki Sachchi Kahani","Homeowner Film","Families","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:48:14.577Z"
"SC-MU6WBCO3-42","Aesthetic Light Shadows: How Natural Graded Quartz Texture Interacts with Sunlight Facades","Architect Spec","Architects & Interior Designers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:49:18.161Z"
"SC-MU6WCPQ7-26","Why Walls Sweat & How Smart Polymers Stop It","Science of Paints","Homeowners & Painters","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:50:21.664Z"
"SC-MU6WE2Q2-90","5 Saal Ka Stone Armor: Repaint Scam Kyon Banta Hai?","Homeowner Film","Homeowners Building Houses","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:51:26.119Z"
"SC-MU6WFGGX-94","5 Saal Ka Stone Armor: Repainting Scam Kyon Chhodo?","Homeowner Film","Homeowners Building Houses","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:52:29.660Z"
"SC-MU6WGTHH-15","Monsoon Mold Magic: Anti-Fungal Chemistry in 60 Seconds","Science of Paints","Homeowners & Builders","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:53:33.396Z"
"SC-MU6WI6NR-71","Pre-Monsoon Wall Check: 3 Signs Your Texture Needs Guard","Homeowner Film","Villa & House Owners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:54:36.907Z"
"SC-MU6WJJO8-44","PVC Chejdet Kya Hota Hai: Primer, Emulsion, Texture Ki Sachchi Bat","Science of Paints","Painters & Contractors","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:55:41.019Z"
"SC-MU6WKX50-60","Ready-to-Use Bags: Dealer Cash Flow Safety Net","Dealer Counter","Hardware & Paint Shop Owners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:56:44.425Z"
"SC-MU6WMA2F-83","Pre-Monsoon Wall Check: 3 Signs Your Texture Needs Guard","Homeowner Film","Villa & House Owners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:57:47.745Z"
"SC-MU6WNMX4-24","Monsoon Mold Magic: Paint Chemistry That Keeps Walls Dry","Science of Paints","Homeowners & Builders","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:58:51.260Z"
"SC-MU6WOZXU-78","How Sunlight Breathes Life into Graded Quartz Textures","Architect Spec","Architects & Interior Designers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T11:59:55.009Z"
"SC-MU6WQD48-34","5 Saal Ka Stone Armor: Repainting Scam Ka Saamna","Homeowner Film","Homeowners Building Houses","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:00:59.094Z"
"SC-MU6WRQK8-90","Ready-to-Use Bags: Dealer Cash Flow Safety Net","Dealer Counter","Hardware & Paint Shop Owners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:02:02.471Z"
"SC-MU6WT3GP-87","Crack-Bridging Science: How High-Elongation Acrylic Polymers Stretch Over Structural Micro-Cracks","Science of Paints","Builders & Architects","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:03:05.824Z"
"SC-MU6WUGCT-27","Ready-to-Use Bags: Dealer Cash Flow Safety Net","Dealer Counter","Hardware & Paint Shop Owners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:04:09.379Z"
"SC-MU6WVTEE-11","Monsoon Magic: How Your Paint Fights Fungus","Science of Paints","Homeowners & Builders","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:05:13.317Z"
"SC-MU6WX6Q9-13","Water-Based vs Solvent Paints: Odor, VOCs, Health & Flame Safety","Science of Paints","Homeowners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:06:17.491Z"
"SC-MU6WYK8P-17","Monsoon Magic: How Your Paint Fights Fungus","Science of Paints","Homeowners & Builders","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:07:21.180Z"
"SC-MU6WZXE0-85","The True Cost of Space: Bulk Bags vs Heavy Machines","Dealer Counter","Hardware Retailers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:08:24.950Z"
"SC-MU6X1ALI-10","How Sunlight Reveals Graded Quartz Texture on Facades","Architect Spec","Architects & Interior Designers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:09:29.021Z"
"SC-MU6X2O0Z-85","5 Saal Ka Stone Armor: Repainting Scam Kyon Banta Hai?","Homeowner Film","Homeowners Building Houses","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:10:33.106Z"
"SC-MU6X41H8-25","30-Day Buyback Guarantee: Zero Risk New Product Launch","Dealer Counter","Retail Paint Dealers","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:11:37.488Z"
"SC-MU6X5F5K-99","PVC Chejdet Kya Hota Hai: Primer, Emulsion, Texture Ki Sachchi Baat","Science of Paints","Painters & Contractors","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:12:41.732Z"
"SC-MU6X6SQ3-18","Water-Based vs Solvent Paints: Odor, VOCs, Health & Flame Safety","Science of Paints","Homeowners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:13:45.356Z"
"SC-MU6X85TJ-93","Pre-Monsoon Wall Check: 3 Signs Your Texture Needs Guard","Homeowner Film","Villa & House Owners","MrBeast Visual Spike","55s","Free Consultation (+91 8000530422)","2026-09-18T12:14:49.034Z"
