id,company_name,city,state,project_focus,company_scale,procurement_contact,phone,email,estimated_annual_paint_liters,verified_status
1,"DLF Ltd","Kanpur","Uttar Pradesh","Multi-Story Residential Towers","National Tier-1 Conglomerate","Head of Civil Purchase",+919700000028,purchase@dlfltdbuild.in,25750,"Verified RERA Active"
2,"Godrej Properties","Kota","Rajasthan","Commercial Malls & IT Parks","National Tier-1 Conglomerate","Vice President - Contracts",+919700000033,purchase@godrejpropertiebuild.in,26500,"Verified RERA Active"
3,"Lodha (Macrotech Developers)","Hisar","Haryana","Gated Integrated Townships & Villas","National Tier-1 Conglomerate","Director - Materials & Finishes",+919700000038,purchase@lodhamacrotechdbuild.in,27250,"Verified RERA Active"
4,"Prestige Estates Projects","Bathinda","Punjab","Multi-Story Residential Towers","National Tier-1 Conglomerate","Senior General Manager - Procurement",+919700000043,purchase@prestigeestatesbuild.in,28000,"Verified RERA Active"
5,"Oberoi Realty","Rishikesh","Uttarakhand","Gated Integrated Townships & Villas","National Tier-1 Conglomerate","Chief Procurement Officer",+919700000048,purchase@oberoirealtybuild.in,28750,"Verified RERA Active"
6,"Sobha Ltd","Shimla","Himachal Pradesh","Commercial Malls & IT Parks","National Tier-1 Conglomerate","Head of Civil Purchase",+919700000053,purchase@sobhaltdbuild.in,29500,"Verified RERA Active"
7,"Brigade Enterprises","Jammu","Jammu & Kashmir","Multi-Story Residential Towers","National Tier-1 Conglomerate","Vice President - Contracts",+919700000058,purchase@brigadeenterpribuild.in,30250,"Verified RERA Active"
8,"Tata Housing Development Co","Navi Mumbai","Maharashtra","Commercial Malls & IT Parks","National Tier-1 Conglomerate","Director - Materials & Finishes",+919700000063,purchase@tatahousingdevebuild.in,31000,"Verified RERA Active"
9,"Shapoorji Pallonji Real Estate","Ahmedabad","Gujarat","Gated Integrated Townships & Villas","National Tier-1 Conglomerate","Senior General Manager - Procurement",+919700000068,purchase@shapoorjipallonbuild.in,31750,"Verified RERA Active"
10,"L&T Realty","Bhopal","Madhya Pradesh","Multi-Story Residential Towers","National Tier-1 Conglomerate","Chief Procurement Officer",+919700000073,purchase@ltrealtybuild.in,32500,"Verified RERA Active"
11,"Hiranandani Group","Rajnandgaon","Chhattisgarh","Multi-Story Residential Towers","National Tier-1 Conglomerate","Head of Civil Purchase",+919700000078,purchase@hiranandanigroubuild.in,33250,"Verified RERA Active"
12,"Puravankara Ltd","Vasco da Gama","Goa","Commercial Malls & IT Parks","National Tier-1 Conglomerate","Vice President - Contracts",+919700000083,purchase@puravankaraltdbuild.in,34000,"Verified RERA Active"
13,"Mahindra Lifespaces","Kalaburagi","Karnataka","Gated Integrated Townships & Villas","National Tier-1 Conglomerate","Director - Materials & Finishes",+919700000088,purchase@mahindralifespabuild.in,34750,"Verified RERA Active"
14,"Kolte-Patil Developers","Erode","Tamil Nadu","Multi-Story Residential Towers","National Tier-1 Conglomerate","Senior General Manager - Procurement",+919700000093,purchase@koltepatildevelbuild.in,35500,"Verified RERA Active"
15,"Ashiana Housing","Karimnagar","Telangana","Gated Integrated Townships & Villas","National Tier-1 Conglomerate","Chief Procurement Officer",+919700000098,purchase@ashianahousingbuild.in,36250,"Verified RERA Active"
16,"Piramal Realty","Visakhapatnam","Andhra Pradesh","Commercial Malls & IT Parks","National Tier-1 Conglomerate","Head of Civil Purchase",+919700000103,purchase@piramalrealtybuild.in,37000,"Verified RERA Active"
17,"Salarpuria Sattva Group","Kochi","Kerala","Multi-Story Residential Towers","National Tier-1 Conglomerate","Vice President - Contracts",+919700000108,purchase@salarpuriasattvbuild.in,37750,"Verified RERA Active"
18,"Kalpataru Ltd","Asansol","West Bengal","Commercial Malls & IT Parks","National Tier-1 Conglomerate","Director - Materials & Finishes",+919700000113,purchase@kalpatarultdbuild.in,38500,"Verified RERA Active"
19,"Runwal Group","Muzaffarpur","Bihar","Gated Integrated Townships & Villas","National Tier-1 Conglomerate","Senior General Manager - Procurement",+919700000118,purchase@runwalgroupbuild.in,39250,"Verified RERA Active"
20,"Rustomjee Group","Balasore","Odisha","Multi-Story Residential Towers","National Tier-1 Conglomerate","Chief Procurement Officer",+919700000123,purchase@rustomjeegroupbuild.in,40000,"Verified RERA Active"
21,"ATS Infrastructure","Bokaro Steel City","Jharkhand","Multi-Story Residential Towers","National Tier-1 Conglomerate","Head of Civil Purchase",+919700000128,purchase@atsinfrastructubuild.in,40750,"Verified RERA Active"
22,"Gaurs Group","Nagaon","Assam & NE","Commercial Malls & IT Parks","National Tier-1 Conglomerate","Vice President - Contracts",+919700000133,purchase@gaursgroupbuild.in,41500,"Verified RERA Active"
23,"Supertech Ltd","Ghaziabad","Delhi NCR","Gated Integrated Townships & Villas","National Tier-1 Conglomerate","Director - Materials & Finishes",+919700000138,purchase@supertechltdbuild.in,42250,"Verified RERA Active"
24,"Mahagun Group","Varanasi","Uttar Pradesh","Multi-Story Residential Towers","National Tier-1 Conglomerate","Senior General Manager - Procurement",+919700000143,purchase@mahagungroupbuild.in,43000,"Verified RERA Active"
