SOP_ID,DATE_CREATED,SOP_TITLE,TARGET_COUNTER_TYPE,STAGE_FOCUS,TONALITY_PROTOCOL,THREE_TENS_PILLAR,MANDATORY_PHYSICAL_ACTION,PRIMARY_OBJECTION_HANDLED,CLOSING_ACTION_TRIGGER,STATUS
"SOP-BLF-001","2026-09-20","4-Second Authority & Rapport SOP","General Retail & Multi-Brand Counters","Step 1: Rapport Build","Utter Sincerity & Sharp Enthusiasm","Salesperson 10/10","Direct eye contact, respectful Hinglish greeting, zero immediate pitch","Counter owner says 'kya chahiye?' brush-off","Soft transition bridge: 'Sir 2 min ek baat samajhni thi'","ACTIVE_ENFORCED"
"SOP-BLF-002","2026-09-20","Counter Margin & Hidden Pain Probe SOP","Commercial Paint Counters","Step 3 & 4: Situation & Problem","Curious & Lowered Volume Intimacy","Salesperson 10/10","Never name competitor first; ask about fast-moving volume","Dealer claims 'sab theek chal raha hai'","Impact probe: '3% margin par capital block ka pain'","ACTIVE_ENFORCED"
"SOP-BLF-003","2026-09-20","1ft x 1ft Quartz Texture Demo Board SOP","Luxury Hardware & Contractor Counters","Step 6: Solution Positioning","Absolute Certainty & Sensory Immersion","Product 10/10","Place 1ft x 1ft Real Quartz Board in dealer's hand; feel ridges","'Local texture flake ho jata hai'","Prove 5-Yr Weatherproof warranty & pure Bundi quartz","ACTIVE_ENFORCED"
"SOP-BLF-004","2026-09-20","Bundi Factory Pedigree & Company Stacking SOP","Bundi, Kota, Hadoti Regional Beat","Step 6 & 7: Company Trust Stacking","Firm & Local Pride Tone","Company 10/10","Show factory dispatch invoice and 110 KU batch QC cert","'Naya brand hai, company bhag gayi toh?'","Highlight 24-hr doorstep dispatch & local plant stability","ACTIVE_ENFORCED"
"SOP-BLF-005","2026-09-20","Hormozi Offer & Profit Stacking SOP","All Hardware & Building Material Counters","Step 7: The Value Offer","Whisper of Confidential Truth","Product 10/10 & Company 10/10","Calculate unit profit on notepad: Swatch ₹460 vs MNC ₹30","'Margin theek hai par demand kisme hai?'","Reveal ₹50 Painter Cash Token inside bag","ACTIVE_ENFORCED"
"SOP-BLF-006","2026-09-20","'Price High' Value Reframing Looping SOP","Price-Sensitive Rural/Highway Counters","Step 8: Objection Deflection Loop","Feigned Surprise & Reasonable Logic","Product 10/10","Show profit difference per sq ft vs cheap white putty","'₹350 wali putty sasti padti hai'","Deflect to ₹460 pocket profit & re-loop to trial close","ACTIVE_ENFORCED"
"SOP-BLF-007","2026-09-20","'Asian Only' Complementary Secret Weapon SOP","Exclusive Asian Paints / Multi-Brand Counters","Step 8: Competitor Co-existence Loop","Complete Agreement & Non-Aggressive Expert","Company 10/10","Never criticize Asian Paints; position Swatch on secondary rack","'Hum sirf Asian bechte hain dusra nahi rakhte'","Frame as 10X profit secondary stream; ask for 20 bags","ACTIVE_ENFORCED"
"SOP-BLF-008","2026-09-20","20-Bag Shubh Aarambh Action Close SOP","Trial-Stage Prospects","Step 9: Action Close","Relaxed Reasonable Man Tone","Salesperson 10/10 & Product 10/10","Open order pad calmly without asking permission; write 20 bags","'Soch ke batayenge' hesitation","Offer 7-Day 100% Exchange Guarantee & confirm dispatch date","ACTIVE_ENFORCED"

"SOP-GEN-MU9E33XR","2026-09-20","Dynamic SOP: Weatherguard & Waterproofing Stacking","Monsoon Damp Wall Problem Site (Baran Project Counter)","Weatherguard & Waterproofing Stacking","Absolute Certainty & Technical Authority","Product 10/10 (5-Year Assurance)","Water droplet repellency test on coated demo tile","Local waterproofing solution kaam nahi karta, silan wapis aa jati hai","Bundle 40L Weatherguard + 20L Waterproofing combo trial","ACTIVE_GENERATED"
