cardone_id,framework_pillar,normal_linear_baseline,cardone_10x_multiplier_action,commercial_volume_target,field_script_or_sop_rule,operational_dependency,execution_command
CARD-TGT-01,Target Multiplier,100 Bags/Day (Rs 69000 billing),Target 1000 Bags/Day (Rs 690000 billing across territory),1000 Bags/Day (30000 Bags/Month),Never reduce a target; multiply your actions by 10. Even hitting 60% of a 10X target yields 600 bags which dwarfs average competition.,Bundi plant mixer capacity + raw quartz buffer staging,10X_TARGET_SET
CARD-ACT-02,Activity Multiplier,8-10 Field Visits/Day by solo rep,50 Team Touches/Day across counters sites architects thekedars,50 Touches/Day (1250 Touches/Month),Average effort yields average results. Massive volume of touches guarantees pipeline overflow and eliminates dry spells.,Field Sales Reps + Independent Distributor Sonu Kumar territory runs,10X_FIELD_SWARM
CARD-FLW-03,Follow-up Multiplier,1 Follow-up call after 10 days,Minimum 7 to 10 Relentless Multi-Channel Touches until closed,>= 70% Conversion of Qualified Whales,A single follow-up is an admission of failure. Strike with sample boards WhatsApp videos demo patches and profit calculations until YES.,CRM logging in users.csv + WhatsApp automated task cues,10X_RELENTLESS_FOLLOWUP
CARD-VIS-04,Visibility Domination,1 Shop flex board every 2 months,70% Visual Market Saturation in commercial hubs,10 Shop Boards + 50 Counter Display Boards/Month,"Market perception rule: Swatch har jagah dikh raha hai — ignore karna namumkin hai. Saturate retail fronts sample jars and active site flexes.",Marketing toolkit budget + 1ft x 1ft cured quartz demo panels,10X_MARKET_SATURATION
CARD-SPD-05,Speed Execution,3-4 Days quote and dispatch delay,Instant Quotes + Guaranteed 24-Hour Factory Dispatch,Same-day loading for orders before 2:00 PM,Speed is an unfair competitive advantage. When a thekedar or dealer decides load the tempo immediately from Bundi factory.,Warehouse Helper Om Prakash Saini loading readiness,10X_SPEED_DISPATCH
CARD-PRD-06,Production Buffer Sync,Produce strictly on received orders (Just-in-Time),Factory runs at 120% of forecasted demand (+20% safety buffer),200 Bags ready Rustic buffer + 50 Pails Weatherguard 20L,"Rule: Demand > Supply nahi hona chahiye! Sales Forecast -> Production Planning -> Buffer Inventory Ready. Never make a customer wait.",Senior Chemist Shahrukh bhai batch scheduling & raw material staging,10X_PRODUCTION_BUFFER_SYNC
CARD-GEO-07,Geographic Domination,Scattered visits across random cities,Sequential Saturation: Bundi Base (100%) -> Kota Hub (70%) -> Hadoti Corridors -> Rajasthan,11 Approved City Markets for Sonu Kumar wholesale expansion,"Dominate small territory first before spraying capital. Lock every counter in Bundi then conquer Kota city commercial corridors.",Independent wholesale distributor model @ Rs 430/bag,10X_TERRITORY_CASCADE
CARD-DLR-08,Dealer Expansion Scenario,1 Dealer onboarded per month,10 New Dealers onboarded per month across regional trade centers,10 Active Dealers/Month adding Rs 15L+ monthly billing,"[Dealer Name] ji Namaste. Hum market me aam tareeqe se nahi aaye hain. Swatch har shahar me 1 exclusive top partner ke sath 40% margin model par dominate kar raha hai. Hum aapko priority display bay aur territory protection de rahe hain.",Hormozi Grand Slam Offer + 40% margin structure,10X_DEALER_SURGE
CARD-STE-09,Site Penetration Scenario,2 Construction sites visited/week,20 Active Construction Sites penetrated per week with on-site trowel demos,20 Sites/Week converting to 500+ bags project BOQ pull,"[Contractor Name] ji Namaste. Site par 2 minute dekar trowel glide feel kijiye. Shahrukh bhai ka natural silica quartz bag dhoop me sookhta nahi hai aur har bag me Rs 50 cash token mistri ko turant milta hai. Trial patch abhi lagate hain.",Senior Chemist Shahrukh bhai on-site demonstration kit,10X_SITE_PENETRATION
CARD-CAD-10,Aggressive Cadence Routine,Passive ad-hoc dealer calling,50 Daily Touches -> 20 New Leads -> 15 Follow-ups -> 5 Strong Closing Attempts,Daily quota discipline reported at 19:00 IST to CEO Ashutosh Sharma,"Aggressive routine beats talent every day. Sales reps execute without hesitation; no fear of rejection; full speed ahead.",Daily 7:00 PM Executive Dispatch Service to CEO (+91 9079609627),10X_DAILY_DISPATCH_AUDIT
