id,company_name,district_hq,project_types,company_scale,purchase_contact_person,phone,email,estimated_annual_paint_requirement_liters
1,"Manglam Group",Jaipur,"Residential Highrise & Commercial","Tier 1 Mega Builder","Chief Procurement Officer (Jaipur)",+919829010003,purchase@manglamgroup.com,50000
2,"Mahima Group",Jaipur,"Luxury Highrise & Villas","Tier 1 Mega Builder","Head of Civil Purchase (Jaipur)",+919829010006,purchase@mahimagroup.com,65000
3,"Terra Group",Bhiwadi,"Affordable Housing & Township","Tier 1 Mega Builder","Project Director - Finishes (Bhiwadi)",+919829010009,purchase@terragroup.com,80000
4,"Trehan Home Developers",Bhiwadi,"Group Housing & Commercial","Tier 1 Mega Builder","Contracts & Tenders Head (Bhiwadi)",+919829010012,purchase@trehanhomedevelopers.com,95000
5,"Ashiana Housing",Bhiwadi & Jaipur,"Senior Living & Premium Condos","National Developer","Chief Materials Manager (Bhiwadi & Jaipur)",+919829010015,purchase@ashianahousing.com,110000
6,"SNG Group",Jaipur,"Commercial Complexes & Residences","Tier 1 Regional","Chief Procurement Officer (Jaipur)",+919829010018,purchase@snggroup.com,125000
7,"UDB (Unique Dream Builders)",Jaipur,"Integrated Townships & Malls","Tier 1 Regional","Head of Civil Purchase (Jaipur)",+919829010021,purchase@udbuniquedreambuilders.com,140000
8,"Kedia Homes",Jaipur,"Villas & Gated Communities","High Volume Residential","Project Director - Finishes (Jaipur)",+919829010024,purchase@kediahomes.com,155000
9,"Apeksha Group",Jaipur & Ajmer,"Affordable Residential Projects","Tier 2 Regional","Contracts & Tenders Head (Jaipur & Ajmer)",+919829010027,purchase@apekshagroup.com,170000
10,"ARG Group",Jaipur & Alwar,"Commercial Towers & Group Housing","Tier 1 Regional","Chief Materials Manager (Jaipur & Alwar)",+919829010030,purchase@arggroup.com,185000
11,"Vardhman Group",Jaipur,"Commercial Hubs & Flats","Tier 2 Regional","Chief Procurement Officer (Jaipur)",+919829010033,purchase@vardhmangroup.com,50000
12,"R-Tech Group",Bhiwadi & Jaipur,"Capital Malls & Galleria Projects","Commercial Titan","Head of Civil Purchase (Bhiwadi & Jaipur)",+919829010036,purchase@rtechgroup.com,65000
13,"Upasana Group",Jaipur,"Boutique Luxury Condos","Premium Residential","Project Director - Finishes (Jaipur)",+919829010039,purchase@upasanagroup.com,80000
14,"Shubhashish Homes",Jaipur,"Green Concept Smart Homes","Eco-Developer","Contracts & Tenders Head (Jaipur)",+919829010042,purchase@shubhashishhomes.com,95000
15,"Chordia Group",Jaipur,"Industrial Parks & Townships","Infrastructure & Projects","Chief Materials Manager (Jaipur)",+919829010045,purchase@chordiagroup.com,110000
16,"Ashapurna Buildcon",Jodhpur,"Townships & Commercial Hubs","Marwar Market Leader","Chief Procurement Officer (Jodhpur)",+919829010048,purchase@ashapurnabuildcon.com,125000
17,"Bhadreshwar Group",Jodhpur,"Residential Apartments","Regional Builder","Head of Civil Purchase (Jodhpur)",+919829010051,purchase@bhadreshwargroup.com,140000
