id,shop_name,district,cluster_area,owner_name,phone,full_address,primary_category,estimated_monthly_volume
1,"Jai Pal Paint & Sanitary Store",Jodhpur,"Pal Road","Trader B Jodhpur",+919414000013,"Shop 16, Main Road, Pal Road, Jodhpur, Rajasthan","Water-Based Paints & Hardware",53
2,"New Indraprastha Colors & Coatings Agency",Kota,"Indraprastha Industrial Area","Trader C Kota",+919414000015,"Shop 17, Main Road, Indraprastha Industrial Area, Kota, Rajasthan","Water-Based Paints & Hardware",66
3,"Royal Sadul Hardware & Building Materials",Bikaner,"Sadul Colony","Trader D Bikaner",+919414000017,"Shop 18, Main Road, Sadul Colony, Bikaner, Rajasthan","Water-Based Paints & Hardware",79
4,"Modern Kishangarh Wall Protect & Texture Depot",Ajmer,"Kishangarh Marble Mandi","Trader E Ajmer",+919414000019,"Shop 19, Main Road, Kishangarh Marble Mandi, Ajmer, Rajasthan","Water-Based Paints & Hardware",92
5,"Star Fatehpura Trade Associates",Udaipur,"Fatehpura","Trader F Udaipur",+919414000021,"Shop 20, Main Road, Fatehpura, Udaipur, Rajasthan","Water-Based Paints & Hardware",105
6,"Classic RIICO Paints & Hardware Mart",Bhilwara,"RIICO Industrial Area","Trader G Bhilwara",+919414000023,"Shop 21, Main Road, RIICO Industrial Area, Bhilwara, Rajasthan","Water-Based Paints & Hardware",118
7,"National Manu Paint & Sanitary Store",Alwar,"Manu Marg","Trader H Alwar",+919414000025,"Shop 22, Main Road, Manu Marg, Alwar, Rajasthan","Water-Based Paints & Hardware",131
8,"Ganesh Fatehpur Colors & Coatings Agency",Sikar,"Fatehpur Road","Trader I Sikar",+919414000027,"Shop 23, Main Road, Fatehpur Road, Sikar, Rajasthan","Water-Based Paints & Hardware",144
9,"Maruti Padampur Hardware & Building Materials",Sri Ganganagar,"Padampur Road","Trader J Sri Ganganagar",+919414000029,"Shop 24, Main Road, Padampur Road, Sri Ganganagar, Rajasthan","Water-Based Paints & Hardware",157
10,"Balaji Anah Wall Protect & Texture Depot",Bharatpur,"Anah Gate","Trader K Bharatpur",+919414000031,"Shop 25, Main Road, Anah Gate, Bharatpur, Rajasthan","Water-Based Paints & Hardware",170
11,"Kalyan Sumerpur Trade Associates",Pali,"Sumerpur Road","Trader L Pali",+919414000033,"Shop 26, Main Road, Sumerpur Road, Pali, Rajasthan","Water-Based Paints & Hardware",183
12,"Krishna Collectorate Paints & Hardware Mart",Chittorgarh,"Collectorate Road","Trader M Chittorgarh",+919414000035,"Shop 27, Main Road, Collectorate Road, Chittorgarh, Rajasthan","Water-Based Paints & Hardware",196
13,"Vikas Makrana Paint & Sanitary Store",Nagaur,"Makrana Marble Zone","Trader N Nagaur",+919414000037,"Shop 28, Main Road, Makrana Marble Zone, Nagaur, Rajasthan","Water-Based Paints & Hardware",209
14,"Shree Khetri Colors & Coatings Agency",Jhunjhunu,"Khetri Nagar","Trader O Jhunjhunu",+919414000039,"Shop 29, Main Road, Khetri Nagar, Jhunjhunu, Rajasthan","Water-Based Paints & Hardware",222
15,"Jai Malpura Hardware & Building Materials",Tonk,"Malpura Road","Trader P Tonk",+919414000041,"Shop 30, Main Road, Malpura Road, Tonk, Rajasthan","Water-Based Paints & Hardware",235
16,"New Junction Wall Protect & Texture Depot",Hanumangarh,"Junction Market","Trader Q Hanumangarh",+919414000043,"Shop 31, Main Road, Junction Market, Hanumangarh, Rajasthan","Water-Based Paints & Hardware",248
17,"Royal Station Trade Associates",Dausa,"Station Road","Trader R Dausa",+919414000045,"Shop 32, Main Road, Station Road, Dausa, Rajasthan","Water-Based Paints & Hardware",261
18,"Modern Sindhari Paints & Hardware Mart",Barmer,"Sindhari Road","Trader S Barmer",+919414000047,"Shop 33, Main Road, Sindhari Road, Barmer, Rajasthan","Water-Based Paints & Hardware",274
19,"Star Tonk Paint & Sanitary Store",Jaipur,"Tonk Road","Trader T Jaipur",+919414000049,"Shop 34, Main Road, Tonk Road, Jaipur, Rajasthan","Water-Based Paints & Hardware",287
