dream_id,cohort_category,target_profile_or_kpi,qualification_criteria,domination_strategy,touchpoint_cadence_stage,domination_script_or_benchmark,pigheaded_discipline_rule
D100-DLR-01,Top 20 Dealers,Prime High-Street Retail Hardware & Paint Counter,Monthly turnover >= Rs 3L-5L with prime road frontage and painter footfall,Territory exclusivity (1 selected dealer per commercial market) + 40% dealer margin + premium display bay,Touch 1 to 12 (Sample Kit -> WhatsApp Case Study -> Call -> Chemist Demo -> Profit Calculation -> Exclusivity Agreement),"[Dealer Name] ji Namaste. Hum random expansion karke har gali me board nahi baant rahe. Har prime commercial market me sirf 1 selected top counter ke sath exclusive partnership kar rahe hain aur aapka counter hamari priority list me #1 par hai. MNC ke 3% margin ki jagah Swatch par aapko 40% margin milega aur aapke 2km radius me koi doosra dealer yeh product nahi bech sakega.",Never accept 'soch kar batata hu' as a rejection. Execute all 12 touches over 90 days until account is won or disqualified.
D100-CON-02,Top 20 Contractors,Commercial Elevation Painting Thekedar,Active crew of 15+ painters with monthly texture consumption >= 100 bags,Site trowel demo by Senior Chemist Shahrukh bhai + Rs 50 Painter Growth Token card inside each 25kg bag + wholesale pass-through,Touch 1 to 7 (Site Drop -> Trowel Glide Test -> Hand Rs 50 Token -> Chemist Demo -> 20-Bag Project Trial Batch),"[Contractor Name] ji Namaste. Dhoop me kaam karte waqt agar texture jaldi sookh jaye to karigar par kitna load padta hai? Shahrukh bhai ne Bundi plant me 100% natural silica quartz se Swatch Rustic banaya hai jo makkhan jaisa glide karta hai. Plus har bori me Rs 50 cash token aapke karigar ke liye seedha nikalta hai. Chaliye 1 deewar par demo patch lagate hain.",Visit during active working hours (10 AM - 2 PM). Let the master mistri feel the trowel glide personally.
D100-BLD-03,Top 20 Builders,Multi-Unit Residential & Commercial Real Estate Developer,Active projects consuming >= 1000 bags per project phase,Direct factory landed sqft pricing + 30% coating cost reduction + 5-Year Weather & Durability Assurance,Touch 1 to 8 (Boardroom Intro -> Landed Sqft Cost Sheet -> Elevation Mockup -> Lab Reports -> Bulk Supply Contract),"[Builder Name] ji Namaste. Multi-unit projects me square-foot coating cost control sabse badi priority hai ya 5-year weather protection? Swatch direct factory dispatch se landed sqft cost par 30% direct cash saving deta hai with zero compromise on quartz aggregate quality. Hum written 5-year assurance certificate dete hain.",Present hard cold arithmetic comparison sheet contrasting Rs 18/sqft MNC cost vs Rs 12.50/sqft Swatch landed cost.
D100-ARC-04,Top 20 Architects,Lead Facade Architect & Elevation Designer,Specifies exterior texture on commercial plazas and luxury residential bungalows,Architectural specification in BOQ blueprints + Swatch 1ft x 1ft Quartz Sample Box + custom aggregate grading,Touch 1 to 5 (Studio Drop-in -> Cured Quartz Panel Drop -> WhatsApp Elevation Portfolio -> BOQ Specification Lock),"[Architect Name] ji Namaste. Main Swatch Paints se hoon. Bundi factory me natural silica quartz se textured coatings banate hain. Modern elevations me natural matte quartz stone finish artificial plastic paint se 10x zyada premium dikhti hai. Kya hum aapki studio library ke liye 2 physical demo panels drop kar sakte hain?",Never visit empty-handed. Hand physical cured 1ft x 1ft quartz board directly into the architect hands.
D100-DST-05,Top 20 Distributors,Regional B2B Wholesale Paint Distributor,Liquid working capital with dedicated transport fleet and committed volume >= 200 bags/month,Direct factory transfer price Rs 430/bag + protected city territory exclusivity (Sonu Kumar model),Touch 1 to 6 (Market Connect -> Distribution Terms -> Bundi Factory Tour -> 200-Bag Dispatch Lock),"[Distributor Name] ji Namaste. Wholesale me MNC brands par 3-4% margin milta hai aur padosi ko bhi maal de diya jata hai. Swatch independent wholesale model par chalta hai: Rs 430/bag factory rate dedicated city market exclusivity aur sub-dealers ko 40% margin dene ke baad bhi aapka solid net cash profit bachega. Committed volume 200 bags/month.",Distributor must be pre-approved by CEO Ashutosh Sharma (+91 9079609627). City markets only (Talera Kota City Dabi Baran etc).
D100-KPI-06,Gold Domination Metric,Revenue per Dream 100 Account,Target >= Rs 150000 per month per active account,Concentrate 80% of sales time on accounts delivering high gross revenue and volume velocity,Weekly & Monthly Sales Velocity Audit,Benchmark: Minimum Rs 1.5 Lakhs billing/month per account. Accounts below Rs 50000/month for 2 consecutive months get replaced.,Audit sales data every Monday. Disqualify low-yield accounts and replace with qualified pipeline whale accounts.
D100-KPI-07,Gold Domination Metric,Repeat Re-order Velocity,Target >= 75% re-ordering within 30 days of initial dispatch,Fast re-order cycle validates dealer trade velocity and painter brand loyalty,Monthly Cohort Retention Tracking,Benchmark: >= 75% Monthly Repeat Ratio. If repeat drops below 70% deploy Chemist Shahrukh bhai to inspect site application.,Measure weekly. If a whale account doesn't re-order by Day 25 initiate Girard retention touchpoint immediately.
D100-KPI-08,Gold Domination Metric,Average Order Size (AOS),Target >= 50 Bags per texture order or >= 20 Buckets per emulsion order,Optimizes freight transport cost within Rs 30/bag company logistics budget,Order Entry Verification at Factory Dispatch,Benchmark: >= 50 Bags per invoice. Sub-50 bag orders require logistics consolidation to protect Rs 30/bag freight cap.,Sales reps must upsell to the 50-bag bulk slab (Rs 640-650/bag) to maximize dealer margin and logistics efficiency.
D100-KPI-09,Gold Domination Metric,Net Hurdle Margin Preservation,Target >= Rs 100/bag net profit on Swatch Rustic and >= Rs 132/bag on Roller Coat,Strict factory economic lock protecting manufacturing margins against unapproved price discounting,Invoice Margin Audit by CEO & CA Desk,Benchmark: Net Company Hurdle >= Rs 100/bag on Rustic (Base Rs 450 Landed Rs 635 Standard Dealer Rs 690) and >= Rs 132 on Roller Coat.,Zero exceptions. Any field rep requesting price below hurdle rate is rejected automatically by system logic.
D100-CAD-10,Pigheaded Discipline Cadence,Daily Field Domination Routine,5 Contacts + 2 High-Value Meetings + 1 Deep Follow-up every single day,Systematic daily execution preventing pipeline dry-up and ensuring consistent progress across the Dream 100,Daily Evening 7:00 PM Executive Audit,5 Dream 100 Contacts -> 2 High-Value Meetings -> 1 Deep Follow-up -> 100% CRM Logging before 19:00 IST.,Consistency beats brilliance. A sales rep who executes 5 touches every day will outperform any charismatic closer.
