id,shop_name,owner_name,phone,city,market_area,full_address,business_type,estimated_monthly_bags
1,"Sanjay Paints & Sanitary Mart",Sanjay Agarwal,+919414010001,Sikar,"Bajoria Road","Plot 11, Main Market, Bajoria Road, Sikar, Rajasthan",Hardware & Sanitary,57
2,"Saini Rangoli Colors & Paint Agency",Sunil Saini,+919414010002,Jhunjhunu,"Road No 1","Plot 12, Main Market, Road No 1, Jhunjhunu, Rajasthan",Building Material Stockist,64
3,"Hope Circus Hardware & Building Materials",Mukesh Gupta,+919414010003,Alwar,"Hope Circus","Plot 13, Main Market, Hope Circus, Alwar, Rajasthan",Exclusive Coating Dealer,71
4,"Yadav Krishna Paint House",Ramesh Yadav,+919414010004,Ajmer,"Parbatpura Industrial Area","Plot 14, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Texture & Putty Specialist,78
5,"Anil Shree Ram Hardware & Paints",Anil Khandelwal,+919414010005,Kota,"DCM Road","Plot 15, Main Market, DCM Road, Kota, Rajasthan",Paint Retailer,85
6,"Malviya Nagar Maruti Paints & Coating Traders",Dinesh Meena,+919414010006,Jaipur,"Malviya Nagar","Plot 16, Main Market, Malviya Nagar, Jaipur, Rajasthan",Hardware & Sanitary,92
7,"Virendra Bajrang Hardware Stores",Virendra Singh,+919414010007,Sikar,"Station Road","Plot 17, Main Market, Station Road, Sikar, Rajasthan",Building Material Stockist,99
8,"Jain Laxmi Paint Center",Pankaj Jain,+919414010008,Jhunjhunu,"Khemi Shakti Mandir Road","Plot 18, Main Market, Khemi Shakti Mandir Road, Jhunjhunu, Rajasthan",Exclusive Coating Dealer,106
9,"Company Bagh Road Royal Paints & Texture Mart",Vinod Prajapat,+919414010009,Alwar,"Company Bagh Road","Plot 19, Main Market, Company Bagh Road, Alwar, Rajasthan",Texture & Putty Specialist,113
10,"Jangid Ganesh Hardware & Paints",Mahesh Jangid,+919414010010,Ajmer,"Parbatpura Industrial Area","Plot 20, Main Market, Parbatpura Industrial Area, Ajmer, Rajasthan",Paint Retailer,120
11,"Ashok Balaji Color World",Ashok Mittal,+919414010011,Kota,"DCM Road","Plot 21, Main Market, DCM Road, Kota, Rajasthan",Hardware & Sanitary,127
