Script_ID,Date_Created,Script_Name,Target_Persona,Flow_Stage,Script_Text_Hinglish,Key_Technique,Three_Tens_Pillar,Conversion_Rating,Status
SCR-RAP-01,2026-09-20,Shop Respect Rapport,High-Volume Hardware Counter,Rapport Build,"Namaste sir, aapka counter kaafi organized hai — kitne saal ho gaye business me?",Mirroring & Genuine Respect,Salesperson Trust,9.5/10,ACTIVE
SCR-RAP-02,2026-09-20,Location Speed Rapport,Main Bazaar Mixed Paint Shop,Rapport Build,"Sir aapka location strong hai, yahan kaunsa product fastest move karta hai?",Open Curiosity,Salesperson Trust,9.3/10,ACTIVE
SCR-TRN-01,2026-09-20,Soft Shift Transition,Any Retail Paint Counter,Transition,"Sir ek choti si cheez samajhni thi aapse...",Gentle Curiosity,Salesperson Trust,9.6/10,ACTIVE
SCR-SIT-01,2026-09-20,Volume & Brand Probe,Conservative Counter,Situation (Probe),"Sir abhi texture aur exterior me kaunsa brand primary chal raha hai aur monthly kitna volume nikal jata hai?",SPIN Fact Finding,Product Trust,9.2/10,ACTIVE
SCR-PRB-01,2026-09-20,Margin Dissatisfaction Probe,MNC Dominated Counter,Problem (Pain),"Sir volume toh nikal jata hai par margin me satisfaction hai ya transport nikalne ke baad kuch bachta nahi?",Pain Excavation,Company Trust,9.8/10,ACTIVE
SCR-IMP-01,2026-09-20,Working Capital Impact,High-Turnover Dealer,Impact (Emotion+Cost),"Low margin me volume hone ke baad bhi dukan ki growth slow ho jati hai na sir?",NEPQ Financial Gravity,Company Trust,9.7/10,ACTIVE
SCR-SOL-01,2026-09-20,Engineered Antidote Positioning,Margin-Hungry Dealer,Solution Positioning,"Sir isi exact problem ke liye Swatch design kiya gaya hai — high margin plus fast movement system ke sath.",Direct Problem-Solution Fit,Product Trust,9.9/10,ACTIVE
SCR-OFR-01,2026-09-20,Rustic No-Brainer Stack,New Prospect Dealer,Offer,"Sir ₹460 per bag clean margin (40%) plus bag ke andar ₹50 ka instant cash token painter ke liye.",Hormozi Value Stack,Product Trust,9.9/10,ACTIVE
SCR-OBJ-01,2026-09-20,Price vs Profit Reframe,Price-Sensitive Counter,Objection Handling,"Sir price nahi, profit dekho — agar ₹50 mehenga hai but ₹300 zyada munafa deta hai, toh kya mehenga hai?",Unit Profit Reframing,Product Trust,9.8/10,ACTIVE
SCR-OBJ-02,2026-09-20,Zero-Risk New Brand Swap,Skeptical Counter,Objection Handling,"Isi liye sir 20-bag trial bol rahe hain — 7 din me na bika toh 1-to-1 swap, risk zero rakho.",Risk Reversal Stacking,Company Trust,9.7/10,ACTIVE
SCR-OBJ-03,2026-09-20,Asian Complementary Channel,MNC Monopoly Counter,Objection Handling,"Asian replace nahi karna sir — Asian ke sath Swatch ko extra earning channel ke roop me add karo.",Non-Threatening Addition,Product Trust,9.6/10,ACTIVE
SCR-OBJ-04,2026-09-20,Hesitation Isolation Reframe,Indecisive Dealer,Objection Handling,"Sir ek doubt clear kar do — hesitation product quality par hai ya counter se na nikalne ka darr hai?",Doubt Isolation,Salesperson Trust,9.5/10,ACTIVE
SCR-CLS-01,2026-09-20,Natural 20-Bag Trial Close,Qualified Prospect,Close,"Sir 20 bags se trial start karte hain? Test kar lete hain, movement support humari taraf se.",Pressure-Free Action,Salesperson Trust,9.8/10,ACTIVE
SCR-CLS-02,2026-09-20,Shubh Aarambh 50-Bag Close,Medium Hardware Store,Close,"Sir Shubh Aarambh 50-bag lot book karte hain — 5 bag Bundi plant se free aur 1x1ft sample board counter par!",Assumptive Action Close,Company Trust,9.9/10,ACTIVE
