sku_code,product_name,category,pack_size,stock_qty,base_cost,dealer_net_tier1,dealer_net_tier2,homeowner_price,mrp,active_scheme,pricing_rules
SW-RUSTIC-TEX-01,Swatch Rustic Texture,Texture Coatings,25kg Bag,100,450,632.50,690,920,1150,Dealer 40-45% Margin; 2% Cash Disc; Painters Growth Tokens (Rs50 token),"25kg Moisture-Proof Bag ONLY. No tinting machine required. Dealer: Rs632.50 (45% margin) to Rs690 (40% margin). Company net hurdle >=Rs100/bag."
SW-ROLLER-COAT-02,Swatch Roller Coat,Texture Coatings,25kg Bag,100,500,632.50,690,1035,1150,Dealer 40-45% Margin; 2% Cash Disc,"25kg Bag. Easy roller-application texture coating. Dealer: Rs632.50 (45% margin) to Rs690 (40% margin). Company net hurdle >=Rs132/bag."
SW-WEATHERGUARD-03-20L,Swatch Weatherguard,Exterior Emulsion,20 Litre Bucket,100,2000,2255,2460,3690,4100,Dealer 40-45% Margin; 2% Cash Disc,"20L Bucket. Exterior emulsion. Base Rs100/L. MRP Rs205/L. Dealer Rs2255 (45%) to Rs2460 (40%)."
SW-WEATHERGUARD-03-10L,Swatch Weatherguard,Exterior Emulsion,10 Litre Bucket,100,1000,1127.50,1230,1845,2050,Dealer 40-45% Margin,"10L Bucket. Pro-rated from 20L. Dealer Rs1127.50 (45%) to Rs1230 (40%)."
SW-WEATHERGUARD-03-4L,Swatch Weatherguard,Exterior Emulsion,4 Litre Bucket,100,400,451,492,738,820,Dealer 40-45% Margin,"4L Bucket. Pro-rated from 20L. Dealer Rs451 (45%) to Rs492 (40%)."
SW-WEATHERGUARD-03-1L,Swatch Weatherguard,Exterior Emulsion,1 Litre Container,100,100,112.75,123,184,205,Dealer 40-45% Margin,"1L Container. Pro-rated from 20L. Dealer Rs112.75 (45%) to Rs123 (40%)."
SW-SHINE-EMUL-04-20L,Swatch Shine Emulsion,Interior Emulsion,20 Litre Bucket,100,2000,2255,2460,3690,4100,Dealer 40-45% Margin; 2% Cash Disc,"20L Bucket. Interior emulsion. Base Rs100/L. MRP Rs205/L. Dealer Rs2255 (45%) to Rs2460 (40%)."
SW-SHINE-EMUL-04-10L,Swatch Shine Emulsion,Interior Emulsion,10 Litre Bucket,100,1000,1127.50,1230,1845,2050,Dealer 40-45% Margin,"10L Bucket. Pro-rated from 20L. Dealer Rs1127.50 (45%) to Rs1230 (40%)."
SW-SHINE-EMUL-04-4L,Swatch Shine Emulsion,Interior Emulsion,4 Litre Bucket,100,400,451,492,738,820,Dealer 40-45% Margin,"4L Bucket. Pro-rated from 20L. Dealer Rs451 (45%) to Rs492 (40%)."
SW-SHINE-EMUL-04-1L,Swatch Shine Emulsion,Interior Emulsion,1 Litre Container,100,100,112.75,123,184,205,Dealer 40-45% Margin,"1L Container. Pro-rated from 20L. Dealer Rs112.75 (45%) to Rs123 (40%)."
SW-WATERPROOF-05-1L,Swatch Waterproofing Solution,Waterproofing,1 Litre Bottle,100,130,198,216,324,360,Dealer 40-45% Margin,"1L Bottle/Jerry. Base Rs130/L. MRP Rs360/L. Dealer Rs198 (45%) to Rs216 (40%)."
SW-WATERPROOF-05-5L,Swatch Waterproofing Solution,Waterproofing,5 Litre Jerry Can,100,650,990,1080,1620,1800,Dealer 40-45% Margin,"5L Jerry Can. Base Rs650. MRP Rs1800. Dealer Rs990 (45%) to Rs1080 (40%)."
SW-TOPCOAT-06-1L,Swatch Top Coat,Specialty Finishes,1 Litre Bottle,100,250,275,300,450,500,Dealer 40-45% Margin,"1L Bottle/Jerry. Base Rs250/L. MRP Rs500/L. Dealer Rs275 (45%) to Rs300 (40%)."
SW-TOPCOAT-06-5L,Swatch Top Coat,Specialty Finishes,5 Litre Jerry Can,100,1250,1375,1500,2250,2500,Dealer 40-45% Margin,"5L Jerry Can. Base Rs1250. MRP Rs2500. Dealer Rs1375 (45%) to Rs1500 (40%)."
