roi_model_id,product_name,pack_size,monthly_volume_units,dealer_purchase_rate,contractor_street_realization,dealer_profit_per_unit,total_monthly_swatch_profit,competitor_mnc_profit_per_unit,total_monthly_mnc_profit,monthly_net_profit_gap,initial_working_capital_req,monthly_cycle_roi_pct,annual_cumulative_cash_gap,cost_of_inaction_coi_annual,dealer_hesitation_scenario,victor_antonio_dialogue_script,visual_sheet_formula
VA-ROI-01,Swatch Rustic Texture,25kg Bag,50,690.00,1090.00,400.00,20000.00,35.00,1750.00,18250.00,34500.00,57.97,219000.00,219000.00,Dealer hesitant to take on non-MNC texture brand,"Sir ek chota sa calculation dikhaata hu: aap abhi Asian Paints se 50 bag pe Rs 1,750 kama rahe ho, Swatch se Rs 20,000 kama sakte ho. Seedha Rs 18,250 ka difference hai. Ab decision aapka hai, ye lena hai ya har mahine Rs 18,250 lose karna hai?","[50 Bags x Rs 400] vs [50 Bags x Rs 35] -> Net Gap = +Rs 18,250/mo | Capital Rs 34,500 -> 57.97% ROI"
VA-ROI-02,Swatch Rustic Texture (Bulk Tier),25kg Bag,100,650.00,1090.00,440.00,44000.00,35.00,3500.00,40500.00,65000.00,67.69,486000.00,486000.00,Large commercial hardware store asking for extra volume incentive,"Gupta ji, 100 bag par company aapko Rs 650 ka special tier de rahi hai. Aapka net margin Rs 440 per bag hota hai, yani Rs 44,000 monthly profit. MNC brand pe aapko sirf Rs 3,500 milta. Ek saal me Rs 4,86,000 extra cash flow aapki dukaan me aayega!","[100 Bags x Rs 440] vs [100 Bags x Rs 35] -> Net Gap = +Rs 40,500/mo | Capital Rs 65,000 -> 67.69% ROI"
VA-ROI-03,Swatch Rustic Texture (Master Wholesale),25kg Bag,200,640.00,1080.00,440.00,88000.00,30.00,6000.00,82000.00,128000.00,68.75,984000.00,984000.00,B2B Town Distributor comparing wholesale return on investment,"Sonu ji, 200 bags par Rs 640 rate pe Rs 88,000 seedha margin nikalta hai. MNC brand 200 bag par sirf Rs 6,000 chhodti hai. Rs 1,28,000 ke rolling capital pe 68.75% monthly return pure Rajasthan trade me koi paint brand nahi de sakta!","[200 Bags x Rs 440] vs [200 Bags x Rs 30] -> Net Gap = +Rs 82,000/mo | Capital Rs 1,28,000 -> 68.75% ROI"
VA-ROI-04,Swatch Roller Coat Texture,25kg Bag,50,650.00,1090.00,440.00,22000.00,40.00,2000.00,20000.00,32500.00,67.69,240000.00,240000.00,Dealer comparing Roller Coat application margins,"Verma ji, Roller Coat me machine ki zarurat zero hai. Seedha roller se apply hota hai. 50 bags par aapko Rs 22,000 profit milta hai jabki MNC texture par sirf Rs 2,000. Aap khud dekhiye Rs 20,000 ka gap har mahine kaise chhod sakte hain?","[50 Bags x Rs 440] vs [50 Bags x Rs 40] -> Net Gap = +Rs 20,000/mo | Capital Rs 32,500 -> 67.69% ROI"
VA-ROI-05,Swatch Weatherguard Exterior Emulsion,20L Pail,20,2350.00,3600.00,1250.00,25000.00,180.00,3600.00,21400.00,47000.00,53.19,256800.00,256800.00,Dealer asking why they should stock Swatch exterior pails,"Sir, MNC exterior emulsion ka 20L pail bechne par dukaan ko Rs 180 bachta hai aur paisa 30 din fas jata hai. Swatch Weatherguard me Rs 1,250 per pail net profit hai. Sirf 20 pail bech kar Rs 25,000 net margin pocket me aata hai!","[20 Pails x Rs 1,250] vs [20 Pails x Rs 180] -> Net Gap = +Rs 21,400/mo | Capital Rs 47,000 -> 53.19% ROI"
VA-ROI-06,Swatch Shine Interior Emulsion,20L Pail,25,2300.00,3500.00,1200.00,30000.00,160.00,4000.00,26000.00,57500.00,52.17,312000.00,312000.00,Dealer claiming interior emulsion has tight competition,"Mittal ji, competition tab hota hai jab aap Rs 160 ke liye ladte ho. Swatch Shine me Rs 1,200 clean margin hai. 25 pails me Rs 30,000 profit. MNC se 25 pail bechoge toh sirf Rs 4,000 milega. Rs 26,000 ka difference seedha aapke munafey me judta hai.","[25 Pails x Rs 1,200] vs [25 Pails x Rs 160] -> Net Gap = +Rs 26,000/mo | Capital Rs 57,500 -> 52.17% ROI"
VA-ROI-07,Swatch Waterproofing Solution,5L Jerry Can,40,950.00,1550.00,600.00,24000.00,90.00,3600.00,20400.00,38000.00,63.16,244800.00,244800.00,Chemical / waterproofing counter comparing Dr Fixit margins,"Sharma ji, Dr Fixit / MNC chemicals me margin 5-7% pe lock hai. Swatch Waterproofing me per 5L can Rs 600 margin hai. 40 cans par Rs 24,000 profit. Capital Rs 38,000 par 63.16% return in 30 days!","[40 Cans x Rs 600] vs [40 Cans x Rs 90] -> Net Gap = +Rs 20,400/mo | Capital Rs 38,000 -> 63.16% ROI"
VA-ROI-08,Swatch Top Coat Protective Glaze,5L Jerry Can,30,1350.00,2200.00,850.00,25500.00,120.00,3600.00,21900.00,40500.00,62.96,262800.00,262800.00,Specialty contractor counter comparing clear coats,"Jain ji, texture ke upar Top Coat har project me lagta hai. 30 cans par Rs 25,500 profit. MNC clear coat me sirf Rs 3,600 milta hai. Har project par Rs 21,900 ka direct additional revenue generate hota hai.","[30 Cans x Rs 850] vs [30 Cans x Rs 120] -> Net Gap = +Rs 21,900/mo | Capital Rs 40,500 -> 62.96% ROI"
VA-ROI-09,Starter Storefront Display Combo,Mixed Assortment,1 Combo,48500.00,79500.00,31000.00,31000.00,3800.00,3800.00,27200.00,48500.00,63.92,326400.00,326400.00,New dealer setting up first Swatch branded display section,"Aggarwal ji, poora starter combo Rs 48,500 ka hai jisme 30 Rustic, 10 Roller Coat, aur 5 Weatherguard pails aate hain. Total realization Rs 79,500 hai. Net profit Rs 31,000. MNC brand me same stock lene par sirf Rs 3,800 bachta. Fark Rs 27,200 ka hai!","[Starter Combo Realization Rs 79,500 - Cost Rs 48,500] = Rs 31,000 Net -> 63.92% ROI"
VA-ROI-10,Painters Growth Token Pull-Through,Contractor Model,100 Bags,690.00,1090.00,400.00,40000.00,0.00,0.00,40000.00,69000.00,57.97,480000.00,480000.00,Dealer questioning if painters will repeatedly demand Swatch,"Sir, har bag me Rs 50 ka cash token seedha painter ko milta hai. 100 bag lagane wala contractor Rs 5,000 cash seedha token se nikalta hai. Wo baar baar aapki dukaan par Swatch maangne aayega aur aapko Rs 40,000 net margin dega without any effort!","[100 Bags x Rs 50 Token to Painter = Rs 5,000 Pull] -> Generates Rs 40,000 Dealer Net Margin"
