product_name,category,pack_size,mrp_inr,factory_cost_inr,landed_cost_inr,dealer_standard_price_inr,dealer_margin_pct,entry_slab,growth_slab,scale_slab,elite_slab,value_stack,risk_reversal_terms,painter_program,future_lockin_loyalty,approval_status,last_updated
Swatch Rustic Texture,Texture Coatings,25kg Bag,1150,450,635,690,40.0%,10-49 Bags: Rs690/bag (40.0% margin) + standard display poster,50-149 Bags: Rs660/bag (42.6% margin) + 1ft x 1ft physical texture demo board,150-349 Bags: Rs640/bag (44.3% margin) + district contractor contact list,350+ Bags: Rs620/bag (46.1% margin) + area exclusivity + direct factory tempo priority,"48-hr dispatch promise from Bundi plant; WhatsApp 1-tap reordering; branded GST proforma templates; free contractor demo board","7-day slow-move exchange (unopened bags); 100% replacement for batch transit damage; 5-yr anti-peel durability warranty","Rs50 cash-equivalent token inside every bag (QR linked); Rs20 bonus per bag on 50+ bags monthly; free applicator steel trowel at 100 bags","Painter Growth Tokens redeemable at partner stores; 2% early-pay cash credit (5-day terms); quarterly dealer foreign trip volume points",Awaiting CEO Ashutosh Sharma Approval,2026-09-20T10:25:00Z
Swatch Roller Coat,Texture Coatings,25kg Bag,1150,500,635,690,40.0%,10-49 Bags: Rs690/bag (40.0% margin) + counter standee,50-149 Bags: Rs660/bag (42.6% margin) + 2 free applicator rollers,150-349 Bags: Rs640/bag (44.3% margin) + priority weekend dispatch,350+ Bags: Rs620/bag (46.1% margin) + semi-exclusive tehsil stocking right,"24-48 hr fast dispatch; zero tinting machine hassle; pre-mixed uniform roller consistency; instant PDF estimate generator","7-day batch rotation exchange; verified replacement on application bubble defect; 5-yr weather resistance assurance","Rs40 instant coupon inside bag; Rs15/bag milestone bonus on 40 bags/month; heavy-duty roller handle at 80 bags milestone","Quarterly turnover rebate (1.5% credit note); 2% cash discount on 5-day clearance; priority stock reservation during peak season",Awaiting CEO Ashutosh Sharma Approval,2026-09-20T10:25:00Z
Swatch Weatherguard,Exterior Emulsion,20 Litre Bucket,4100,2000,2255,2460,40.0%,5-14 Buckets: Rs2460/bucket (40.0% margin) + exterior shade card,15-39 Buckets: Rs2350/bucket (42.7% margin) + 5L Top Coat trial can,40-99 Buckets: Rs2280/bucket (44.4% margin) + site sampling kit for builder pitches,100+ Buckets: Rs2220/bucket (45.9% margin) + branded shop fascia banner,"24-48 hr regional hub delivery; high-opacity silicone formula; digital shade visualizer access for dealers; direct factory batch COA","15-day color fade exchange assurance; free replacement for transport leakage; 5-year anti-fungal & weather durability guarantee","Rs150 direct painter scan credit per 20L bucket; Rs500 bonus milestone on 10 buckets monthly; master applicator overall jacket at 25 buckets","VIP Painter Club membership card; 2.5% volume credit note redeemable on next order; 2% 5-day prompt payment float bonus",Awaiting CEO Ashutosh Sharma Approval,2026-09-20T10:25:00Z
Swatch Weatherguard,Exterior Emulsion,10 Litre Bucket,2050,1000,1128,1230,40.0%,10-24 Buckets: Rs1230/bucket (40.0% margin),25-49 Buckets: Rs1180/bucket (42.4% margin) + free shade guide,50-99 Buckets: Rs1145/bucket (44.1% margin) + branded counter stickers,100+ Buckets: Rs1115/bucket (45.6% margin) + builder site referral support,"Fast replenishment from Bundi; zero settlement formula; WhatsApp catalog link with instant pricing","15-day slow-moving stock replacement; 5-yr durability assurance against flaking","Rs75 scan credit per 10L bucket; Rs250 bonus on 15 buckets/month; high-grip masking tape bundle at 30 buckets","Growth wallet credits; 2% cash discount buffer; seasonal festival bumper draw coupons",Awaiting CEO Ashutosh Sharma Approval,2026-09-20T10:25:00Z
Swatch Weatherguard,Exterior Emulsion,4 Litre Bucket,820,400,451,492,40.0%,20-49 Units: Rs492/unit (40.0% margin),50-99 Units: Rs475/unit (42.1% margin),100-199 Units: Rs460/unit (43.9% margin),200+ Units: Rs448/unit (45.4% margin) + display rack,"Compact retail shelf footprint; 24-hr carton dispatch; quick turnover homeowner retail pack","30-day shelf exchange on unopened cans; batch seal leak replacement guarantee","Rs30 instant QR token inside lid; Rs100 milestone voucher on 20 units; 4-inch paint brush at 50 units","Digital scratch card inside carton; annual retail turnover points ladder",Awaiting CEO Ashutosh Sharma Approval,2026-09-20T10:25:00Z
Swatch Weatherguard,Exterior Emulsion,1 Litre Container,205,100,113,123,40.0%,50-99 Units: Rs123/unit (40.0% margin),100-249 Units: Rs118/unit (42.4% margin),250-499 Units: Rs115/unit (43.9% margin),500+ Units: Rs112/unit (45.4% margin) + counter sample stand,"Touch-up convenience pack; high margin impulse add-on at billing counter; zero color settling","Full carton replacement on leakage; verified batch tinting consistency guarantee","Rs8 QR scan incentive per 1L pack; free touch-up mini roller on 30 units milestone","Volume scratch coupons; redeemable trade credits towards 20L bucket orders",Awaiting CEO Ashutosh Sharma Approval,2026-09-20T10:25:00Z
Swatch Shine Emulsion,Interior Emulsion,20 Litre Bucket,4100,2000,2255,2460,40.0%,5-14 Buckets: Rs2460/bucket (40.0% margin) + interior sheen fan deck,15-39 Buckets: Rs2350/bucket (42.7% margin) + 1L sample pot pack,40-99 Buckets: Rs2280/bucket (44.4% margin) + interior designer demo kit,100+ Buckets: Rs2220/bucket (45.9% margin) + premium showroom wall display banner,"Silky smooth high-scrub finish; 24-48 hr direct warehouse delivery; zero VOC odorless selling point; customized dealer quote generator","15-day shade exchange; 100% replacement on transport dent/leak; 5-yr washability & gloss retention assurance","Rs150 instant UPI scan coupon; Rs600 milestone bonus on 12 buckets/month; microfiber paint roller kit at 25 buckets","Annual interior contractor privilege pass; 2.5% end-of-quarter credit rebate; 2% 5-day cash velocity discount",Awaiting CEO Ashutosh Sharma Approval,2026-09-20T10:25:00Z
Swatch Shine Emulsion,Interior Emulsion,10 Litre Bucket,2050,1000,1128,1230,40.0%,10-24 Buckets: Rs1230/bucket (40.0% margin),25-49 Buckets: Rs1180/bucket (42.4% margin) + interior brochure bundle,50-99 Buckets: Rs1145/bucket (44.1% margin) + counter glow-sign board,100+ Buckets: Rs1115/bucket (45.6% margin) + priority festival stock lock,"Washable rich sheen; fast pallet replenishment; dealer branded homeowner estimation slip generator","15-day shelf stock rotation; guaranteed seal integrity","Rs75 scan credit per 10L bucket; Rs250 bonus on 15 buckets; soft sanding block set at 30 buckets","Digital loyalty wallet; 2% prompt clearance cash discount; seasonal scheme coupons",Awaiting CEO Ashutosh Sharma Approval,2026-09-20T10:25:00Z
Swatch Shine Emulsion,Interior Emulsion,4 Litre Bucket,820,400,451,492,40.0%,20-49 Units: Rs492/unit (40.0% margin),50-99 Units: Rs475/unit (42.1% margin),100-199 Units: Rs460/unit (43.9% margin),200+ Units: Rs448/unit (45.4% margin) + shelf header display,"Popular bedroom/hall renovation pack; same-day dispatch from depot; high gloss finish appeal","30-day stock exchange on unopened packs; transit damage swap guarantee","Rs30 QR token under handle; Rs100 bonus on 25 units; precision edge tape roll at 50 units milestone","Cumulative quarterly points program; 2% cash discount buffer",Awaiting CEO Ashutosh Sharma Approval,2026-09-20T10:25:00Z
Swatch Shine Emulsion,Interior Emulsion,1 Litre Container,205,100,113,123,40.0%,50-99 Units: Rs123/unit (40.0% margin),100-249 Units: Rs118/unit (42.4% margin),250-499 Units: Rs115/unit (43.9% margin),500+ Units: Rs112/unit (45.4% margin) + mini display caddy,"Accent wall / border trial pack; high margin counter pickup; zero brush mark formula","Carton-level seal protection; immediate replacement on leak","Rs8 QR scan incentive per 1L; free 2-inch synthetic brush at 40 units","Trade volume coupons; future order deduction points",Awaiting CEO Ashutosh Sharma Approval,2026-09-20T10:25:00Z
