frame_id,frame_type,subordinate_amateur_behavior,oren_klaff_status_elevation_rule,field_dialogue_script,psychological_power_outcome,rep_physical_posture_cue
KLAFF-PWR-01,Power Frame,"Begging: 'Sir please apna thoda sa time de do, hum nayi company hain'","Disrupt dealer ego; establish equal commercial standing and selective criteria","[Dealer Name] ji Namaste. Main dekh raha hu aapka counter established hai aur aapka samay kimti hai. Mera samay bhi utna hi kimti hai. Swatch har shahar me sirf 1 selected counter ke sath exclusive partnership model par kaam karta hai. Pehle hume yeh evaluate karna hoga ki kya aapka business model aur hamara high-margin system fit hote hain ya nahi.",Dealer realizes the rep is not a desperate subordinate; treats rep as an executive peer.,Stand tall with relaxed shoulders. Maintain calm unbroken eye contact. Zero nervous smiling or nodding.
KLAFF-TIM-02,Time Frame,"Unlimited availability: 'Sir main poora din yahan baitha hu, jab free ho baat kar lena'","Impose a tight time constraint before the dealer does to signal extreme time value","[Dealer Name] ji mere paas is commercial review ke liye strictly 10 minute hain agle builder meeting se pehle. In 10 minutes me hum yeh dekhenge ki aap bina machine investment ke 40% margin kaise lock kar sakte ho. Agar practical laga to detail plan banayenge, warna wrap up kar denge.",Dealer stops stalling and pays undivided attention; recognizes the rep's time is scarce and expensive.,Check wristwatch once calmly. Deliver script in a crisp, measured cadence (120 words/minute).
KLAFF-PRZ-03,Prize Frame,"Groveling for orders: 'Sir please humse 20 bori le lijiye, aapka bahut aabhaar hoga'","Flip the pursuit vector: Make the dealer qualify to win Swatch territory exclusivity","[Dealer Name] ji Swatch har gali me board nahi baant raha. Bundi plant har commercial market me sirf 1 exclusive dealer ko counter protection deta hai. Sawal yeh nahi hai ki aap Swatch bechna chahte ho ya nahi; sawal yeh hai ki kya aapka counter agle 90 din me 200 bags monthly volume aur prompt payment maintain karne ki capability rakhta hai.",Dealer shifts into qualifying mode to prove their counter's market power and creditworthiness.,Lean back comfortably. Deliver with calm confidence. Never lean forward eagerly.
KLAFF-INT-04,Intrigue Frame,"Feature vomiting: 'Sir hamari quality bahut achhi hai aur rates competitive hain'","Hook dopamine with high-tension narrative contrast before revealing product details","[Dealer Name] ji ek baat bataiye — agar koi aapse kahe ki bina ₹3.5L computerized machine lagaye, aap apne counter par har mahine ₹40,000 extra net cash profit generate kar sakte ho with 100% natural silica quartz from Bundi, aur har bag me karigar ke liye ₹50 cash token sealed milega... to kya aap use impossible bologe ya 2 minute nikaal kar sample board dekhoge?",Dealer's croc brain is hooked by the curiosity gap; demands to see the product proof.,Hand physical 1ft x 1ft cured quartz sample board into the dealer's hands while speaking.
KLAFF-ANA-05,Analyst Frame,"Emotional arguing: 'Sir hamara maal unse bahut behtar hai aap try karke dekho'","Shift into clinical Auditor persona; analyze dealer's working capital leakage","[Dealer Name] ji pricing par aane se pehle mujhe do numbers analyze karne hain: pehla, aapke showroom me tinting machine aur slow-moving bases me kitna working capital fasa hua hai? Aur doosra, current MNC texture par aapka net margin kitne percent hai? Let's analyze the cold numbers first.",Dealer cannot counter objective arithmetic; acknowledges the hidden cost of locked capital.,Open notepad and pen calmly. Write down dealer's current margin (3%) vs Swatch margin (40%).
KLAFF-DST-06,Distracted Dealer Collision,"Talking while dealer is scrolling on phone or answering personal phone calls","Execute total silence; withdraw presence until full executive attention is regained","[Dealer Name] ji main dekh raha hu aap calls me busy hain. Main aapse bina poore focus ke baat nahi kar sakta kyunki Swatch ka 40% margin model serious attention demand karta hai. Ya to hum abhi agle 10 minute full focus ke sath yeh review karein, ya main kal 11 baje reschedule kar deta hu. Which works better for you?",Dealer feels the social tension of their impoliteness; sets phone face-down on table immediately.,Stop speaking instantly mid-sentence. Sit in complete unbothered silence. Do not fidget.
KLAFF-PRC-07,Price Pressure Collision,"Caving to discount demands: 'Sir main thoda rate kam karwa dunga'","Hold price integrity with absolute walk-away posture; defend ₹100 net hurdle rate","[Dealer Name] ji discount dena sabse aasan kaam hai, lekin hum wo nahi karte kyunki hum quality aur factory profit hurdle rate se samjhauta nahi karte. Point rate ka nahi hai; point yeh hai ki kya aap apne counter par 40% clean profit aur zero complaint wala quartz product rakhne me interested ho ya nahi. Agar sirf sasta maal chahiye, to hum fit nahi hain.",Dealer respects the refusal to discount; recognizes high quality and ceases aggressive haggling.,Keep tone polite, warm, but completely unmovable. Zero desperation.
KLAFF-ALP-08,Big Brand Alpha Collision,"Backing down when dealer says: 'Hamare yahan sirf Asian Paints chalta hai'","Reframe competitor as brand display while establishing Swatch as net cash income engine","[Dealer Name] ji Asian Paints aapke showroom ka brand standard hai aur unhe wahan rehna bhi chahiye. Main aapse Asian Paints band karne ko nahi keh raha. Wahan ₹3.5L machine block hai aur 3% margin milta hai. Swatch counter par ek separate High-Margin Profit Engine hai jo bina machine ke flat 40% net cash deta hai. Dono products alag purpose serve karte hain.",Dealer compartmentalizes: MNC for brand volume, Swatch for direct owner wealth creation.,Nod respectfully at competitor's name. Never criticize established market players.
KLAFF-WLK-09,Walk-Away Stance,"Clinging desperately to uncooperative, abusive, or chronic defaulter accounts","Demonstrate willing posture to terminate negotiations; abundance mindset","[Dealer Name] ji lagta hai is waqt hamara timing aur commercial requirements align nahi ho rahe. Swatch unhi partners ke sath kaam karta hai jo 7-day payment discipline aur high-velocity quartz demand par focus karte hain. Agar future me priorities shift hon, to hum dobara connect kar sakte hain. Thank you for your time.",Dealer experiences fear of missing out (FOMO); often calls the rep back to renegotiate terms.,Stand up calmly, pack sample kit smoothly, extend a polite handshake, and walk out.
KLAFF-CAD-10,Field Cadence Routine,"Inconsistent, emotionally reactive sales behavior across the territory","Execute 10 Power Frame openers + 5 Time Frames + 3 Prize Frames daily","Daily Routine: Set 10 Power Frames -> Constrain 5 Time Frames -> Apply 3 Prize Qualifications -> Log 100% CRM authority index at 19:00 IST.",Sales force operates with supreme confidence and psychological dominance across all markets.,Conduct morning 10-minute posture drill. Reps review the 5 frames before stepping on the field.
